Flags,Utterance,Category,Intent
BM,I Have Problems With Canceling An Order,Order,Cancel_Order
BIM,How Can I Find Information About Canceling Orders?,Order,Cancel_Order
B,I Need Help With Canceling The Last Order,Order,Cancel_Order
BIP,Could You Help Me Cancelling The Last Order I Made?,Order,Cancel_Order
B,Problem With Cancelling An Order I Made,Order,Cancel_Order
BI,Can You Help Me Canceling My Last Order?,Order,Cancel_Order
BE,I Do Not Know How To Cancel The Last Order I Have Made,Order,Cancel_Order
BM,Problems With Canceling My Orders,Order,Cancel_Order
BM,I Have Problems With Cancelling The Last Order I Have Made,Order,Cancel_Order
BIMP,Could You Give Me Information About Order Cancellations?,Order,Cancel_Order
B,I Need Help Canceling The Last Order I Have Made,Order,Cancel_Order
B,I Need Help With Cancelling The Order I Made,Order,Cancel_Order
BE,I Do Not Want The Order,Order,Cancel_Order
BIP,How Could I Find Information About Cancelling An Order?,Order,Cancel_Order
BIMP,Would You Give Me Information About Order Cancellations?,Order,Cancel_Order
BM,I Have Problems With Cancelling My Order,Order,Cancel_Order
BI,How To Cancel An Order?,Order,Cancel_Order
BM,I Have Problems With Cancelling An Order I Have Made,Order,Cancel_Order
B,Assistance With Cancelling The Order I Made,Order,Cancel_Order
BI,Can You Give Me Information About Canceling An Order?,Order,Cancel_Order
BM,Problems With Canceling Orders,Order,Cancel_Order
BE,I Do Not Know How I Can Cancel The Last Order I Made,Order,Cancel_Order
BP,I Would Like To Cancel The Order I Made,Order,Cancel_Order
B,I Need Help Canceling An Order,Order,Cancel_Order
BIP,How Could I Get Information About Cancelling An Order?,Order,Cancel_Order
B,I Need Help Cancelling An Order I Made,Order,Cancel_Order
BM,I Have Problems With Cancelling Orders,Order,Cancel_Order
B,I Have A Question About Canceling An Order,Order,Cancel_Order
BM,Problem With Cancelling Orders,Order,Cancel_Order
BM,Problems With Cancelling An Order,Order,Cancel_Order
BIP,How Could I Cancel An Order?,Order,Cancel_Order
BIMP,Where Could I Get Information About Order Cancellations?,Order,Cancel_Order
B,I Can'T Pay For The Order,Order,Cancel_Order
B,I Need Assistance Cancelling An Order I Made,Order,Cancel_Order
BEM,I Am Trying To Find Information About Order Cancelations,Order,Cancel_Order
B,I Want Help Cancelling An Order I Have Made,Order,Cancel_Order
B,I Need Help With Cancelling An Order I Have Made,Order,Cancel_Order
BI,Where To Cancel An Order I Made?,Order,Cancel_Order
BI,Is It Possible To Cancel My Order?,Order,Cancel_Order
BIM,Where Can I Get Information About Canceling Orders?,Order,Cancel_Order
B,Assistance Cancelling An Order I Have Made,Order,Cancel_Order
B,Assistance Canceling The Order I Have Made,Order,Cancel_Order
B,I Want To Cancel The Order I Made,Order,Cancel_Order
BE,I Do Not Know How I Can Cancel The Order I Made,Order,Cancel_Order
B,Help Me To Cancel An Order I Have Made,Order,Cancel_Order
BP,I Don'T Know How I Could Cancel The Order I Made,Order,Cancel_Order
BI,Is It Possible To Cancel The Order I Have Made?,Order,Cancel_Order
BIMP,Would You Give Me Information About Canceling Orders?,Order,Cancel_Order
B,I Have A Problem With Canceling The Order I Have Made,Order,Cancel_Order
B,I Need Help To Cancel The Order I Made,Order,Cancel_Order
B,I Need Help To Cancel The Last Order I Have Made,Order,Cancel_Order
